date,inflation_cpi
1989-09-01,"331,6"
1989-10-01,"513,2"
1989-10-01,"154,8"
1989-10-01,"258,1"
1989-10-01,"557,1"
1989-11-01,"628,2"
1989-11-01,"300,3"
1989-11-01,"122,4"
1989-11-01,657
1989-12-01,"351,1"
1989-12-01,"117,7"
1989-12-01,"739,6"
1989-12-01,"739,6"
1990-01-01,"179,6"
1990-01-01,"179,6"
1990-01-01,"1107,6"
1990-01-01,"1107,6"
1990-02-01,"222,5"
1990-02-01,"1283,1"
1990-02-01,"1198,3"
1990-02-01,"123,8"
1990-03-01,"1210,7"
1990-03-01,232
1990-03-01,"1232,8"
1990-03-01,"104,3"
1990-04-01,"249,4"
1990-04-01,"1208,5"
1990-04-01,"107,5"
1990-04-01,"1202,9"
1990-05-01,"104,6"
1990-05-01,"1176,5"
1990-05-01,"1201,1"
1990-05-01,"260,9"
1990-06-01,"1191,2"
1990-06-01,"269,8"
1990-06-01,"103,4"
1990-06-01,"1151,2"
1990-07-01,1094
1990-07-01,"279,5"
1990-07-01,"103,6"
1990-07-01,1174
1990-08-01,"848,5"
1990-08-01,"1112,6"
1990-08-01,"284,6"
1990-08-01,"101,8"
1990-09-01,"1020,4"
1990-09-01,"297,7"
1990-09-01,"104,6"
1990-09-01,658
1990-10-01,"887,1"
1990-10-01,"314,6"
1990-10-01,"105,7"
1990-10-01,456
1990-11-01,"773,6"
1990-11-01,"385,9"
1990-11-01,"104,9"
1990-11-01,330
1990-12-01,"349,3"
1990-12-01,"349,3"
1990-12-01,"105,9"
1990-12-01,"685,8"
1991-01-01,"112,7"
1991-01-01,"194,9"
1991-01-01,"112,7"
1991-01-01,"194,9"
1991-02-01,"186,9"
1991-02-01,"106,7"
1991-02-01,180
1991-02-01,"120,3"
1991-03-01,"185,1"
1991-03-01,"181,8"
1991-03-01,"125,7"
1991-03-01,"104,5"
1991-04-01,"181,1"
1991-04-01,"129,1"
1991-04-01,"102,7"
1991-04-01,171
1991-05-01,"102,7"
1991-05-01,"167,8"
1991-05-01,178
1991-05-01,"132,6"
1991-06-01,139
1991-06-01,"104,9"
1991-06-01,"177,1"
1991-06-01,"172,4"
1991-07-01,"100,1"
1991-07-01,"168,3"
1991-07-01,"175,6"
1991-07-01,"139,1"
1991-08-01,"174,5"
1991-08-01,"100,6"
1991-08-01,"167,6"
1991-08-01,140
1991-09-01,"173,6"
1991-09-01,"104,3"
1991-09-01,"167,1"
1991-09-01,146
1991-10-01,"150,7"
1991-10-01,"172,5"
1991-10-01,"164,8"
1991-10-01,"103,2"
1991-11-01,"155,5"
1991-11-01,"162,7"
1991-11-01,"103,2"
1991-11-01,"171,4"
1991-12-01,"160,4"
1991-12-01,"170,3"
1991-12-01,"103,1"
1991-12-01,"160,4"
1992-01-01,"107,5"
1992-01-01,"107,5"
1992-01-01,"145,4"
1992-01-01,"145,4"
1992-02-01,"109,4"
1992-02-01,"101,8"
1992-02-01,"142,7"
1992-02-01,"140,1"
1992-03-01,102
1992-03-01,"141,1"
1992-03-01,"138,1"
1992-03-01,"111,6"
1992-04-01,"115,7"
1992-04-01,"103,7"
1992-04-01,"140,2"
1992-04-01,"140,8"
1992-05-01,"143,2"
1992-05-01,"120,4"
1992-05-01,"141,3"
1992-05-01,104
1992-06-01,139
1992-06-01,"122,4"
1992-06-01,"140,9"
1992-06-01,"101,6"
1992-07-01,"141,3"
1992-07-01,124
1992-07-01,141
1992-07-01,"101,4"
1992-08-01,"127,4"
1992-08-01,"141,4"
1992-08-01,"144,3"
1992-08-01,"102,7"
1992-09-01,"105,3"
1992-09-01,"146,5"
1992-09-01,"134,1"
1992-09-01,142
1992-10-01,103
1992-10-01,"138,1"
1992-10-01,"146,4"
1992-10-01,"142,5"
1992-11-01,"102,3"
1992-11-01,"141,2"
1992-11-01,"142,8"
1992-11-01,"145,4"
1992-12-01,143
1992-12-01,"144,3"
1992-12-01,"144,3"
1992-12-01,"102,2"
1993-01-01,"137,5"
1993-01-01,"104,1"
1993-01-01,"104,1"
1993-01-01,"137,5"
1993-02-01,"139,7"
1993-02-01,"107,6"
1993-02-01,"138,6"
1993-02-01,"103,4"
1993-03-01,"102,1"
1993-03-01,"109,9"
1993-03-01,"139,7"
1993-03-01,139
1993-04-01,"112,4"
1993-04-01,"138,1"
1993-04-01,"102,3"
1993-04-01,"138,7"
1993-05-01,"135,8"
1993-05-01,"114,5"
1993-05-01,"138,1"
1993-05-01,"101,8"
1993-06-01,"134,3"
1993-06-01,116
1993-06-01,"137,4"
1993-06-01,"101,4"
1993-07-01,"134,8"
1993-07-01,"117,3"
1993-07-01,137
1993-07-01,"101,1"
1993-08-01,"134,4"
1993-08-01,"136,7"
1993-08-01,120
1993-08-01,"102,3"
1993-09-01,131
1993-09-01,136
1993-09-01,123
1993-09-01,"102,5"
1993-10-01,"125,3"
1993-10-01,"129,8"
1993-10-01,"135,3"
1993-10-01,"101,9"
1993-11-01,"130,4"
1993-11-01,104
1993-11-01,133
1993-11-01,135
1993-12-01,"105,6"
1993-12-01,"137,6"
1993-12-01,"135,3"
1993-12-01,"137,6"
1994-01-01,"132,4"
1994-01-01,"132,4"
1994-01-01,"101,8"
1994-01-01,"101,8"
1994-02-01,"101,1"
1994-02-01,"102,9"
1994-02-01,"131,1"
1994-02-01,"129,9"
1994-03-01,102
1994-03-01,105
1994-03-01,"130,8"
1994-03-01,"130,2"
1994-04-01,"102,9"
1994-04-01,"131,2"
1994-04-01,108
1994-04-01,"130,9"
1994-05-01,"131,2"
1994-05-01,"109,9"
1994-05-01,131
1994-05-01,"101,7"
1994-06-01,"131,3"
1994-06-01,"132,7"
1994-06-01,"112,4"
1994-06-01,"102,3"
1994-07-01,"114,1"
1994-07-01,"131,5"
1994-07-01,"101,5"
1994-07-01,"132,8"
1994-08-01,"132,2"
1994-08-01,116
1994-08-01,"101,7"
1994-08-01,"131,6"
1994-09-01,"121,3"
1994-09-01,132
1994-09-01,"104,5"
1994-09-01,"134,6"
1994-10-01,"102,9"
1994-10-01,"136,1"
1994-10-01,"132,4"
1994-10-01,"124,8"
1994-11-01,"127,1"
1994-11-01,"101,8"
1994-11-01,"133,5"
1994-11-01,"132,5"
1994-12-01,"129,5"
1994-12-01,"129,5"
1994-12-01,"132,2"
1994-12-01,"101,9"
1995-01-01,"104,1"
1995-01-01,"104,1"
1995-01-01,"132,3"
1995-01-01,"132,3"
1995-02-01,"106,3"
1995-02-01,"133,6"
1995-02-01,133
1995-02-01,"102,1"
1995-03-01,"133,1"
1995-03-01,133
1995-03-01,108
1995-03-01,"101,7"
1995-04-01,"132,4"
1995-04-01,"102,3"
1995-04-01,"132,9"
1995-04-01,"110,5"
1995-05-01,"101,8"
1995-05-01,"132,3"
1995-05-01,"132,8"
1995-05-01,"112,5"
1995-06-01,"113,6"
1995-06-01,101
1995-06-01,"130,3"
1995-06-01,"132,3"
1995-07-01,"99,1"
1995-07-01,"131,6"
1995-07-01,"127,6"
1995-07-01,"112,5"
1995-08-01,"100,4"
1995-08-01,"112,9"
1995-08-01,"125,7"
1995-08-01,"130,8"
1995-09-01,103
1995-09-01,"124,2"
1995-09-01,130
1995-09-01,"116,3"
1995-10-01,"122,4"
1995-10-01,"129,2"
1995-10-01,"118,3"
1995-10-01,"101,8"
1995-11-01,"128,4"
1995-11-01,"119,8"
1995-11-01,"101,3"
1995-11-01,122
1995-12-01,"121,6"
1995-12-01,"101,5"
1995-12-01,"127,8"
1995-12-01,"121,6"
1996-01-01,"103,4"
1996-01-01,121
1996-01-01,"103,4"
1996-01-01,121
1996-02-01,"101,5"
1996-02-01,"120,7"
1996-02-01,"120,4"
1996-02-01,105
1996-03-01,"120,4"
1996-03-01,"120,6"
1996-03-01,"106,6"
1996-03-01,"101,5"
1996-04-01,"108,9"
1996-04-01,"102,2"
1996-04-01,"120,3"
1996-04-01,"120,5"
1996-05-01,"110,3"
1996-05-01,"101,4"
1996-05-01,"119,8"
1996-05-01,"120,4"
1996-06-01,"111,4"
1996-06-01,101
1996-06-01,"120,2"
1996-06-01,"119,5"
1996-07-01,"120,2"
1996-07-01,"111,3"
1996-07-01,"99,9"
1996-07-01,"120,4"
1996-08-01,"111,9"
1996-08-01,"100,5"
1996-08-01,"120,5"
1996-08-01,"120,3"
1996-09-01,114
1996-09-01,"120,2"
1996-09-01,"119,5"
1996-09-01,"101,9"
1996-10-01,"115,5"
1996-10-01,"101,4"
1996-10-01,"120,1"
1996-10-01,"119,5"
1996-11-01,120
1996-11-01,"117,1"
1996-11-01,"101,3"
1996-11-01,"119,1"
1996-12-01,"119,9"
1996-12-01,"101,3"
1996-12-01,"118,5"
1996-12-01,"118,5"
1997-01-01,"102,9"
1997-01-01,"102,9"
1997-01-01,"117,8"
1997-01-01,"117,8"
1997-02-01,"101,1"
1997-02-01,"117,3"
1997-02-01,"117,6"
1997-02-01,104
1997-03-01,"117,2"
1997-03-01,"100,8"
1997-03-01,"116,6"
1997-03-01,"104,9"
1997-04-01,101
1997-04-01,"115,3"
1997-04-01,"105,9"
1997-04-01,"116,7"
1997-05-01,"114,6"
1997-05-01,"116,3"
1997-05-01,"106,6"
1997-05-01,"100,6"
1997-06-01,"115,3"
1997-06-01,"108,2"
1997-06-01,"116,1"
1997-06-01,"101,5"
1997-07-01,"114,9"
1997-07-01,108
1997-07-01,"115,9"
1997-07-01,"99,8"
1997-08-01,"114,5"
1997-08-01,"100,1"
1997-08-01,"115,8"
1997-08-01,"108,1"
1997-09-01,"101,4"
1997-09-01,"109,5"
1997-09-01,"115,5"
1997-09-01,"113,6"
1997-10-01,"101,1"
1997-10-01,"115,3"
1997-10-01,"113,1"
1997-10-01,"110,8"
1997-11-01,"115,1"
1997-11-01,"112,1"
1997-11-01,"101,2"
1997-11-01,"113,2"
1997-12-01,"113,2"
1997-12-01,"113,2"
1997-12-01,101
1997-12-01,"114,9"
1998-01-01,"103,1"
1998-01-01,"103,1"
1998-01-01,"113,6"
1998-01-01,"113,6"
1998-02-01,"104,9"
1998-02-01,"114,2"
1998-02-01,"113,9"
1998-02-01,"101,7"
1998-03-01,"105,5"
1998-03-01,"100,6"
1998-03-01,"113,9"
1998-03-01,"113,9"
1998-04-01,"113,7"
1998-04-01,"106,3"
1998-04-01,"100,7"
1998-04-01,"113,9"
1998-05-01,"106,7"
1998-05-01,"113,7"
1998-05-01,"100,4"
1998-05-01,"113,3"
1998-06-01,"112,2"
1998-06-01,"113,5"
1998-06-01,"107,1"
1998-06-01,"100,4"
1998-07-01,"111,9"
1998-07-01,"106,7"
1998-07-01,"99,6"
1998-07-01,"113,2"
1998-08-01,"111,3"
1998-08-01,106
1998-08-01,113
1998-08-01,"99,4"
1998-09-01,"110,6"
1998-09-01,"112,7"
1998-09-01,"106,9"
1998-09-01,"100,8"
1998-10-01,"107,6"
1998-10-01,"100,6"
1998-10-01,"109,9"
1998-10-01,"112,4"
1998-11-01,"108,1"
1998-11-01,"100,5"
1998-11-01,"112,1"
1998-11-01,"109,2"
1998-12-01,"111,8"
1998-12-01,"108,6"
1998-12-01,"100,4"
1998-12-01,"108,6"
1999-01-01,"101,5"
1999-01-01,"106,9"
1999-01-01,"106,9"
1999-01-01,"101,5"
1999-02-01,"102,1"
1999-02-01,"105,6"
1999-02-01,"106,3"
1999-02-01,"100,6"
1999-03-01,"103,1"
1999-03-01,101
1999-03-01,"106,2"
1999-03-01,"106,2"
1999-04-01,"106,3"
1999-04-01,"100,8"
1999-04-01,"103,9"
1999-04-01,"106,2"
1999-05-01,"106,4"
1999-05-01,"106,3"
1999-05-01,"104,6"
1999-05-01,"100,7"
1999-06-01,"100,2"
1999-06-01,"104,8"
1999-06-01,"106,5"
1999-06-01,"106,3"
1999-07-01,"104,5"
1999-07-01,"99,7"
1999-07-01,"106,3"
1999-07-01,"106,3"
1999-08-01,"105,1"
1999-08-01,"106,4"
1999-08-01,"100,6"
1999-08-01,"107,2"
1999-09-01,108
1999-09-01,"106,6"
1999-09-01,"101,4"
1999-09-01,"106,6"
1999-10-01,"106,8"
1999-10-01,"107,8"
1999-10-01,"101,1"
1999-10-01,"108,7"
1999-11-01,107
1999-11-01,"108,8"
1999-11-01,"109,2"
1999-11-01,"100,9"
1999-12-01,"107,3"
1999-12-01,"100,9"
1999-12-01,"109,8"
1999-12-01,"109,8"
2000-01-01,"101,8"
2000-01-01,"101,8"
2000-01-01,"110,1"
2000-01-01,"110,1"
2000-02-01,"102,7"
2000-02-01,"100,9"
2000-02-01,"110,4"
2000-02-01,"110,3"
2000-03-01,"110,3"
2000-03-01,"103,6"
2000-03-01,"110,3"
2000-03-01,"100,9"
2000-04-01,104
2000-04-01,"100,4"
2000-04-01,"109,8"
2000-04-01,"110,1"
2000-05-01,"104,7"
2000-05-01,"100,7"
2000-05-01,110
2000-05-01,"110,1"
2000-06-01,"100,8"
2000-06-01,"110,1"
2000-06-01,"105,5"
2000-06-01,"110,2"
2000-07-01,"106,2"
2000-07-01,"110,3"
2000-07-01,"100,7"
2000-07-01,"111,6"
2000-08-01,"110,4"
2000-08-01,"110,7"
2000-08-01,"99,7"
2000-08-01,"105,9"
2000-09-01,101
2000-09-01,"110,3"
2000-09-01,"110,4"
2000-09-01,107
2000-10-01,"100,8"
2000-10-01,"109,9"
2000-10-01,"110,3"
2000-10-01,"107,8"
2000-11-01,"108,2"
2000-11-01,"100,4"
2000-11-01,"109,3"
2000-11-01,"110,2"
2000-12-01,"100,2"
2000-12-01,"108,5"
2000-12-01,"110,1"
2000-12-01,"108,5"
2001-01-01,"100,8"
2001-01-01,"107,4"
2001-01-01,"107,4"
2001-01-01,"100,8"
2001-02-01,"106,6"
2001-02-01,107
2001-02-01,"100,9"
2001-02-01,"100,1"
2001-03-01,"106,2"
2001-03-01,"106,7"
2001-03-01,"101,4"
2001-03-01,"100,5"
2001-04-01,"106,7"
2001-04-01,"102,2"
2001-04-01,"100,8"
2001-04-01,"106,6"
2001-05-01,"103,3"
2001-05-01,"106,9"
2001-05-01,"101,1"
2001-05-01,"106,8"
2001-06-01,"99,9"
2001-06-01,"106,7"
2001-06-01,"106,2"
2001-06-01,"103,2"
2001-07-01,"106,5"
2001-07-01,"99,7"
2001-07-01,"102,8"
2001-07-01,"105,2"
2001-08-01,"99,7"
2001-08-01,"106,3"
2001-08-01,"102,5"
2001-08-01,"105,1"
2001-09-01,"104,3"
